"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative","vote_ndp"
66,"Female","Ontario","Some Education","NO","Middle Class",NA,NA,NA
38,"Male","Saskatchewan","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
26,"Female","Quebec","Highly Educated","NO","Middle Class",NA,NA,NA
47,"Male","Manitoba","Some Education","NO","Middle Class",0,0,0
24,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,1
51,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
75,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
29,"Female","Ontario","Highly Educated","YES","Middle Class",0,0,1
24,"Male","Ontario","Some Education","NO","Middle Class",1,0,0
76,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
81,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
59,"Male","Quebec","Some Education","YES","Middle Class",1,0,0
32,"Female","Ontario","Some Education","YES","Middle Class",0,0,0
29,"Male","Nova Scotia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
72,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
36,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
56,"Female","Ontario","Highly Educated","NO","Middle Class",1,0,0
59,"Male","Ontario","Some Education","YES","Middle Class",NA,NA,NA
41,"Male","Saskatchewan","Some Education","YES","Lower Middle Class to Poor",0,0,1
60,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
41,"Female","Quebec","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
75,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
55,"Female","British Columbia","Highly Educated","YES","Middle Class",NA,NA,NA
31,"Female","Alberta","Some Education","YES","Middle Class",0,0,1
60,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0,0
71,"Female","New Brunswick","Highly Educated","YES","Middle Class",1,0,0
55,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
62,"Female","Ontario","Highly Educated","NO","Middle Class",0,1,0
70,"Female","Quebec","Highly Educated","YES","Middle Class",0,0,0
72,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",1,0,0
60,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
72,"Male","New Brunswick","Highly Educated","NO","Middle Class",1,0,0
18,"Male","Ontario","Some Education","NO","Middle Class",1,0,0
31,"Female","Ontario","Highly Educated","YES","Middle Class",0,0,1
60,"Female","Ontario","Highly Educated","NO","Middle Class",NA,NA,NA
35,"Female","Manitoba","Some Education","YES","Middle Class",0,0,1
53,"Female","Ontario","Highly Educated","YES","Middle Class",1,0,0
55,"Female","Quebec","Highly Educated","YES","Middle Class",1,0,0
59,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
36,"Female","British Columbia","Highly Educated","NO","Middle Class",NA,NA,NA
28,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor",0,0,0
32,"Female","Quebec","Some Education","NO","Upper Middle Class to Wealthy",1,0,0
61,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",1,0,0
25,"Male","Ontario","Some Education","YES","Middle Class",0,0,0
56,"Female","Ontario","Some Education","YES","Middle Class",0,1,0
43,"Male","Quebec","Highly Educated","NO","Middle Class",0,0,0
46,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
44,"Male","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
67,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
32,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
68,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor",1,0,0
49,"Male","Ontario","Some Education","NO","Middle Class",NA,NA,NA
39,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
63,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
39,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor",NA,NA,NA
46,"Male","Quebec","Some Education","NO","Upper Middle Class to Wealthy",1,0,0
21,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
72,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
58,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
60,"Female","Quebec","Some Education","NO","Middle Class",NA,NA,NA
36,"Female","British Columbia","Highly Educated","NO","Middle Class",NA,NA,NA
27,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",0,0,0
69,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
42,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
24,"Female","Ontario","Some Education","YES","Middle Class",0,0,0
30,"Male","Alberta","Some Education","YES","Middle Class",0,0,1
79,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
25,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
39,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0,0
73,"Female","British Columbia","Some Education","YES","Middle Class",1,0,0
63,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
67,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
56,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
60,"Male","Alberta","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
59,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
26,"Male","Quebec","Some Education","NO","Middle Class",0,0,0
61,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
69,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,1,0
58,"Male","Saskatchewan","Some Education","NO","Middle Class",NA,NA,NA
41,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
59,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
48,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
49,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,0,0
50,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
61,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
38,"Female","Manitoba","Limited Education","YES","Lower Middle Class to Poor",NA,NA,NA
78,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
62,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",0,0,1
32,"Male","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
40,"Male","Ontario","Some Education","YES","Middle Class",0,0,0
52,"Female","Ontario","Some Education","NO","Upper Middle Class to Wealthy",1,0,0
31,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
27,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
67,"Male","Ontario","Some Education","NO","Middle Class",NA,NA,NA
60,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor",0,1,0
69,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
33,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
38,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
39,"Female","Quebec","Some Education","YES","Middle Class",0,1,0
38,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
21,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
82,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
24,"Male","Quebec","Some Education","NO","Upper Middle Class to Wealthy",0,0,1
60,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
76,"Male","Quebec","Some Education","YES","Middle Class",NA,NA,NA
43,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
24,"Male","Ontario","Highly Educated","YES","Middle Class",0,0,1
36,"Female","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
31,"Male","British Columbia","Highly Educated","NO","Middle Class",1,0,0
78,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
44,"Male","Quebec","Some Education","YES","Middle Class",0,1,0
66,"Female","Ontario","Highly Educated","YES","Middle Class",1,0,0
26,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
69,"Female","Alberta","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
82,"Female","British Columbia","Highly Educated","YES","Middle Class",1,0,0
76,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
30,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
30,"Male","British Columbia","Some Education","NO","Middle Class",1,0,0
23,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0,1
76,"Female","Ontario","Some Education","YES","Middle Class",0,1,0
72,"Male","Manitoba","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
38,"Female","Quebec","Some Education","NO","Middle Class",1,0,0
44,"Male","Quebec","Some Education","NO","Upper Middle Class to Wealthy",0,0,0
65,"Female","Quebec","Some Education","NO","Upper Middle Class to Wealthy",0,0,0
47,"Male","Alberta","Some Education","YES","Middle Class",0,1,0
20,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",0,1,0
71,"Female","Quebec","Some Education","YES","Middle Class",0,0,1
76,"Male","Quebec","Some Education","YES","Middle Class",0,0,0
47,"Female","Quebec","Highly Educated","YES","Middle Class",NA,NA,NA
59,"Male","Quebec","Some Education","YES","Middle Class",NA,NA,NA
65,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,1
54,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,1,0
76,"Male","Ontario","Some Education","YES","Middle Class",NA,NA,NA
72,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
67,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,0
59,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0,0
69,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
44,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
32,"Female","Quebec","Highly Educated","YES","Middle Class",NA,NA,NA
51,"Female","Ontario","Some Education","NO","Upper Middle Class to Wealthy",0,0,1
62,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,0,1
53,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class",NA,NA,NA
44,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0,0
27,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0,0
78,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
47,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
74,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
58,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,0,0
26,"Female","Ontario","Highly Educated","NO","Middle Class",0,0,0
25,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
26,"Female","Quebec","Highly Educated","YES","Middle Class",0,0,0
37,"Male","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
51,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
71,"Female","Alberta","Some Education","NO","Middle Class",1,0,0
68,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
66,"Male","Ontario","Some Education","NO","Middle Class",0,0,1
62,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
43,"Male","Nova Scotia","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
63,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",0,0,1
60,"Female","Alberta","Highly Educated","NO","Middle Class",0,1,0
70,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
85,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0,0
21,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",0,0,1
30,"Female","Nova Scotia","Highly Educated","YES","Middle Class",0,0,0
38,"Female","Quebec","Highly Educated","YES","Middle Class",0,1,0
19,"Male","Alberta","Some Education","YES","Middle Class",0,0,1
56,"Female","Manitoba","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
23,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
19,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
75,"Female","British Columbia","Highly Educated","YES","Middle Class",1,0,0
71,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
43,"Female","Quebec","Highly Educated","NO","Middle Class",NA,NA,NA
67,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
26,"Female","Quebec","Some Education","NO","Middle Class",0,1,0
41,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
43,"Female","Quebec","Some Education","NO","Middle Class",0,0,0
28,"Male","Manitoba","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
59,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
76,"Female","Ontario","Highly Educated","NO","Middle Class",0,1,0
46,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,0,0
61,"Male","Quebec","Some Education","YES","Middle Class",1,0,0
33,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
54,"Female","Quebec","Highly Educated","YES","Middle Class",0,0,0
59,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
41,"Male","Ontario","Highly Educated","YES","Middle Class",0,1,0
25,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
46,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
19,"Male","British Columbia","Some Education","YES","Middle Class",1,0,0
38,"Female","Manitoba","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
62,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
29,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor",0,0,1
36,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
61,"Male","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
55,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
69,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
57,"Female","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,0,0
38,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0,1
22,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
24,"Male","Quebec","Some Education","NO","Middle Class",0,0,0
85,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
78,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
52,"Male","Quebec","Some Education","YES","Middle Class",0,0,0
28,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0,1
33,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
33,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
86,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
65,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,0
71,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,1,0
36,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
71,"Male","Ontario","Highly Educated","YES","Middle Class",0,1,0
71,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
68,"Male","Quebec","Some Education","YES","Middle Class",NA,NA,NA
39,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
68,"Male","Quebec","Highly Educated","NO","Middle Class",0,0,0
45,"Female","Quebec","Some Education","YES","Middle Class",0,0,1
27,"Male","Quebec","Some Education","YES","Middle Class",1,0,0
50,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
63,"Male","Alberta","Some Education","YES","Middle Class",0,1,0
27,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0,1
22,"Male","Quebec","Some Education","NO","Upper Middle Class to Wealthy",NA,NA,NA
20,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,0,0
35,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",0,0,1
47,"Male","Quebec","Some Education","NO","Middle Class",1,0,0
26,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
75,"Male","British Columbia","Highly Educated","YES","Middle Class",0,1,0
37,"Female","Ontario","Highly Educated","NO","Middle Class",0,1,0
56,"Female","Quebec","Highly Educated","NO","Middle Class",NA,NA,NA
46,"Female","Saskatchewan","Highly Educated","NO","Middle Class",1,0,0
30,"Female","Saskatchewan","Some Education","YES","Middle Class",NA,NA,NA
42,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
25,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
71,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,0
51,"Female","British Columbia","Highly Educated","YES","Middle Class",NA,NA,NA
47,"Male","Quebec","Highly Educated","NO","Middle Class",0,0,0
41,"Male","Ontario","Highly Educated","NO","Middle Class",NA,NA,NA
41,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor",1,0,0
38,"Female","Ontario","Highly Educated","YES","Middle Class",0,0,1
29,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,1,0
46,"Female","Ontario","Some Education","YES","Middle Class",0,0,0
35,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
62,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
66,"Female","Alberta","Some Education","YES","Middle Class",0,0,0
39,"Male","Ontario","Some Education","NO","Middle Class",0,1,0
38,"Female","Ontario","Highly Educated","YES","Middle Class",1,0,0
58,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
40,"Male","British Columbia","Highly Educated","YES","Middle Class",NA,NA,NA
30,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,0
34,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",0,0,1
69,"Female","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
67,"Male","Quebec","Some Education","YES","Middle Class",0,0,0
37,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
75,"Male","Ontario","Highly Educated","NO","Middle Class",0,1,0
41,"Male","Saskatchewan","Some Education","NO","Lower Middle Class to Poor",0,0,1
33,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0,0
49,"Male","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
41,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
37,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
43,"Female","Quebec","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
69,"Male","Ontario","Some Education","YES","Middle Class",0,1,0
85,"Female","Ontario","Some Education","YES","Middle Class",0,1,0
50,"Female","Ontario","Highly Educated","NO","Middle Class",NA,NA,NA
58,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
74,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",0,0,0
73,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
32,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
34,"Female","Nova Scotia","Some Education","YES","Middle Class",NA,NA,NA
60,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
41,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,0,0
43,"Female","Nova Scotia","Some Education","YES","Middle Class",1,0,0
72,"Female","Alberta","Highly Educated","NO","Lower Middle Class to Poor",0,0,1
70,"Male","Quebec","Some Education","YES","Middle Class",0,1,0
69,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
70,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
82,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
51,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0,1
56,"Male","Saskatchewan","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
62,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
39,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
74,"Male","Ontario","Highly Educated","YES","Middle Class",0,1,0
37,"Male","Ontario","Some Education","NO","Middle Class",0,0,1
50,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
70,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
61,"Male","British Columbia","Highly Educated","NO","Middle Class",NA,NA,NA
50,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
63,"Female","Nova Scotia","Highly Educated","NO","Middle Class",0,0,1
69,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
55,"Female","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
68,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
33,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,1
45,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
43,"Female","Nova Scotia","Some Education","NO","Middle Class",NA,NA,NA
34,"Male","Ontario","Highly Educated","NO","Middle Class",0,0,1
69,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
75,"Female","Quebec","Highly Educated","YES","Middle Class",NA,NA,NA
68,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
55,"Female","Manitoba","Some Education","YES","Middle Class",1,0,0
71,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
40,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,1,0
59,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
69,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
63,"Female","Alberta","Highly Educated","YES","Middle Class",1,0,0
56,"Female","Manitoba","Some Education","YES","Middle Class",0,0,0
67,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
73,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
47,"Male","Ontario","Highly Educated","NO","Middle Class",0,1,0
44,"Male","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
36,"Female","Ontario","Some Education","NO","Middle Class",0,0,0
68,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
79,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
19,"Male","Alberta","Some Education","NO","Middle Class",NA,NA,NA
30,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
66,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",0,1,0
40,"Male","Alberta","Some Education","YES","Middle Class",0,0,1
69,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
65,"Male","Quebec","Some Education","NO","Middle Class",NA,NA,NA
43,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
75,"Male","Ontario","Some Education","YES","Middle Class",NA,NA,NA
18,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
67,"Female","Quebec","Highly Educated","YES","Middle Class",0,1,0
77,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
64,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
21,"Female","British Columbia","Some Education","NO","Middle Class",NA,NA,NA
57,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
79,"Female","Ontario","Some Education","YES","Middle Class",NA,NA,NA
63,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
71,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
77,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
60,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
70,"Female","Manitoba","Some Education","NO","Middle Class",NA,NA,NA
24,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0,0
23,"Male","Ontario","Highly Educated","YES","Middle Class",0,0,1
69,"Female","Ontario","Some Education","NO","Middle Class",1,0,0
19,"Female","Ontario","Some Education","NO","Middle Class",0,0,0
33,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
64,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
29,"Male","Ontario","Highly Educated","YES","Middle Class",1,0,0
67,"Female","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
59,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
48,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
50,"Male","Quebec","Some Education","NO","Middle Class",0,0,1
75,"Male","British Columbia","Some Education","YES","Middle Class",0,1,0
46,"Female","Saskatchewan","Some Education","NO","Middle Class",0,0,0
69,"Female","Ontario","Some Education","NO","Middle Class",0,0,1
49,"Female","Ontario","Some Education","YES","Middle Class",1,0,0
61,"Male","Alberta","Highly Educated","YES","Middle Class",1,0,0
71,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
48,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
31,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
53,"Male","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
77,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
41,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
74,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
66,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
41,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
34,"Male","Ontario","Some Education","NO","Middle Class",NA,NA,NA
24,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
41,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
64,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
48,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0,1
22,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,1
72,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
77,"Male","Ontario","Some Education","NO","Middle Class",0,1,0
43,"Female","Quebec","Some Education","YES","Middle Class",0,1,0
77,"Female","Alberta","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
52,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
65,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
57,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
28,"Female","Saskatchewan","Some Education","NO","Middle Class",0,0,1
70,"Male","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
32,"Female","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",0,0,1
44,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,0
19,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
34,"Male","Ontario","Highly Educated","NO","Middle Class",NA,NA,NA
70,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
