"age","sex","province","education","religion","income_before_tax"
71,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
23,"Female","New Brunswick","Highly Educated","NO","Lower Middle Class to Poor"
58,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor"
79,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
40,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
19,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
60,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
63,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
41,"Male","Ontario",NA,"YES","Middle Class"
17,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
78,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
71,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
37,"Male","Manitoba",NA,"NO","Middle Class"
53,"Male","Ontario","Some Education","YES","Middle Class"
70,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
39,"Male","Ontario",NA,"YES","Middle Class"
68,"Male","Manitoba","Highly Educated","YES","Lower Middle Class to Poor"
80,"Female","British Columbia","Some Education","YES","Middle Class"
39,"Male","Alberta","Some Education","NO","Middle Class"
34,"Male","Alberta",NA,"NO","Middle Class"
79,"Male","Quebec","Highly Educated","YES","Middle Class"
29,"Male","Ontario",NA,"YES","Middle Class"
36,"Male","Alberta",NA,"NO","Middle Class"
52,"Male","Ontario","Some Education","YES","Middle Class"
26,"Male","Alberta","Highly Educated","YES","Middle Class"
80,"Male","Alberta","Limited Education","YES","Lower Middle Class to Poor"
24,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
54,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
38,"Female","Newfoundland and Labrador","Highly Educated","YES","Lower Middle Class to Poor"
53,"Male","Quebec","Some Education","YES","Middle Class"
63,"Male","British Columbia",NA,"YES","Middle Class"
36,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
33,"Male","Newfoundland and Labrador","Some Education","NO","Lower Middle Class to Poor"
61,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
80,"Male","Quebec","Highly Educated","YES","Middle Class"
35,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
49,"Female","Manitoba","Highly Educated","NO","Middle Class"
62,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
53,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
72,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
58,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
80,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
69,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
67,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
70,"Female","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
35,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
68,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
80,"Female","Saskatchewan","Limited Education","YES","Lower Middle Class to Poor"
75,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
30,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
50,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
74,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
48,"Male","Saskatchewan","Some Education","NO","Middle Class"
40,"Male","Ontario",NA,"YES","Middle Class"
79,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
32,"Female","Nova Scotia","Some Education","NO","Lower Middle Class to Poor"
66,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
62,"Female","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
29,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
28,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor"
60,"Male","Quebec","Highly Educated","YES","Middle Class"
68,"Male","New Brunswick","Some Education","YES","Middle Class"
80,"Female","Alberta",NA,"YES","Lower Middle Class to Poor"
29,"Female","New Brunswick","Some Education","NO","Lower Middle Class to Poor"
78,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
33,"Female","Quebec",NA,"YES","Middle Class"
32,"Male","Ontario",NA,"YES","Middle Class"
41,"Female","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
57,"Female","Manitoba","Highly Educated","YES","Lower Middle Class to Poor"
48,"Female","Ontario","Highly Educated","YES","Middle Class"
57,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
64,"Female","Newfoundland and Labrador",NA,"YES","Lower Middle Class to Poor"
55,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor"
65,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
41,"Female","Ontario",NA,"YES","Middle Class"
26,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
58,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
44,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
55,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy"
53,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
66,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
56,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
47,"Male","Prince Edward Island","Some Education","YES","Middle Class"
56,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
52,"Male","Ontario","Highly Educated","NO","Middle Class"
80,"Female","Ontario",NA,"YES","Middle Class"
26,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
59,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
68,"Male","Ontario","Limited Education","YES","Upper Middle Class to Wealthy"
66,"Male","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
41,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
60,"Male","Ontario","Some Education","YES","Middle Class"
62,"Male","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
36,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
80,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
16,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
24,"Male","Saskatchewan","Some Education","NO","Lower Middle Class to Poor"
55,"Male","Saskatchewan","Limited Education","YES","Lower Middle Class to Poor"
36,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
59,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
18,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
24,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
49,"Male","Quebec",NA,"YES","Upper Middle Class to Wealthy"
67,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
58,"Female","Quebec","Some Education","YES","Middle Class"
16,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
30,"Female","British Columbia",NA,"NO","Middle Class"
49,"Female","British Columbia","Highly Educated","YES","Middle Class"
26,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
65,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
16,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
57,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
60,"Male","Ontario",NA,"YES","Middle Class"
65,"Male","New Brunswick","Limited Education","YES","Middle Class"
22,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
56,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
32,"Male","Quebec","Highly Educated","NO","Middle Class"
33,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
34,"Male","Quebec",NA,"NO","Lower Middle Class to Poor"
70,"Male","Alberta","Limited Education","YES","Middle Class"
45,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor"
40,"Male","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy"
27,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
36,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor"
76,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
60,"Male","Prince Edward Island","Some Education","YES","Middle Class"
59,"Male","Ontario","Limited Education","YES","Middle Class"
42,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor"
37,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
25,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
40,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
40,"Male","Newfoundland and Labrador",NA,"YES","Middle Class"
28,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor"
32,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
74,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
52,"Female","Manitoba","Highly Educated","YES","Middle Class"
35,"Male","Alberta",NA,"YES","Upper Middle Class to Wealthy"
44,"Male","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy"
57,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
76,"Male","Quebec","Limited Education","NO","Lower Middle Class to Poor"
72,"Female","Alberta","Limited Education","YES","Upper Middle Class to Wealthy"
56,"Male","British Columbia","Some Education","NO","Middle Class"
50,"Female","British Columbia",NA,"YES","Middle Class"
78,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
39,"Female","Newfoundland and Labrador",NA,"YES","Lower Middle Class to Poor"
21,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
76,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
33,"Female","Alberta",NA,"NO","Middle Class"
58,"Female","Ontario",NA,"YES","Middle Class"
57,"Male","British Columbia","Limited Education","NO","Upper Middle Class to Wealthy"
31,"Male","Manitoba","Limited Education","YES","Middle Class"
56,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
54,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor"
36,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
69,"Female","Newfoundland and Labrador",NA,"YES","Lower Middle Class to Poor"
76,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
66,"Female","Alberta","Limited Education","NO","Lower Middle Class to Poor"
77,"Male","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
74,"Male","New Brunswick","Some Education","YES","Middle Class"
22,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
39,"Female","Quebec",NA,"YES",NA
73,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
76,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
16,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
75,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
71,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
32,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
63,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
30,"Female","Newfoundland and Labrador","Highly Educated","YES","Middle Class"
32,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor"
67,"Male","Ontario","Some Education","YES","Middle Class"
28,"Female","Newfoundland and Labrador",NA,"YES","Lower Middle Class to Poor"
61,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
30,"Male","Ontario","Limited Education","YES","Middle Class"
25,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
66,"Male","Ontario","Some Education","NO","Middle Class"
63,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
41,"Female","Quebec","Highly Educated","YES","Middle Class"
40,"Male","Ontario","Highly Educated","YES","Middle Class"
35,"Female","New Brunswick",NA,"NO","Middle Class"
74,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
41,"Male","British Columbia","Some Education","NO",NA
40,"Male","Saskatchewan","Some Education","NO","Middle Class"
33,"Male","Nova Scotia",NA,"NO","Middle Class"
73,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
44,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
71,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
51,"Female","Nova Scotia","Some Education","NO","Lower Middle Class to Poor"
72,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
71,"Male","New Brunswick","Limited Education","YES","Middle Class"
37,"Male","Quebec","Some Education","YES","Middle Class"
43,"Female","Quebec","Highly Educated","YES","Middle Class"
27,"Female","Newfoundland and Labrador",NA,"NO","Lower Middle Class to Poor"
29,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
73,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor"
59,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
26,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
34,"Female","Ontario",NA,"NO","Middle Class"
76,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
49,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
44,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class"
16,"Female","British Columbia","Limited Education","NO","Lower Middle Class to Poor"
74,"Female","Ontario",NA,"NO","Lower Middle Class to Poor"
53,"Male","Ontario",NA,"YES","Middle Class"
61,"Female","Prince Edward Island","Some Education","YES","Lower Middle Class to Poor"
80,"Male","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
61,"Female","Prince Edward Island","Highly Educated","YES","Middle Class"
52,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy"
66,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy"
58,"Male","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
42,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
32,"Male","Ontario","Some Education","YES","Middle Class"
54,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor"
69,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
76,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
35,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor"
48,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class"
61,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
22,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
25,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor"
80,"Female","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
48,"Female","Ontario","Some Education","NO","Middle Class"
52,"Female","New Brunswick",NA,"YES","Lower Middle Class to Poor"
64,"Female","Ontario",NA,"YES","Middle Class"
64,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
79,"Female","Newfoundland and Labrador",NA,"YES","Lower Middle Class to Poor"
38,"Male","Ontario",NA,"NO","Middle Class"
28,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
50,"Male","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
67,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
60,"Female","Manitoba","Highly Educated","YES","Middle Class"
47,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
58,"Male","Saskatchewan",NA,"YES","Upper Middle Class to Wealthy"
26,"Female","British Columbia","Highly Educated","YES","Middle Class"
66,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
33,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
69,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
57,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
67,"Female","Ontario","Some Education","YES","Middle Class"
67,"Male","Saskatchewan","Limited Education","NO","Lower Middle Class to Poor"
43,"Female","Saskatchewan",NA,"NO","Lower Middle Class to Poor"
70,"Male","British Columbia",NA,"YES","Middle Class"
38,"Male","Nova Scotia","Some Education","YES","Middle Class"
36,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor"
25,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
66,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
50,"Female","Alberta",NA,"YES","Lower Middle Class to Poor"
54,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
65,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor"
31,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
38,"Female","Quebec","Highly Educated","YES","Middle Class"
80,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
56,"Male","Quebec",NA,"YES","Middle Class"
73,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
18,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
47,"Male","Ontario","Highly Educated","NO","Middle Class"
65,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor"
80,"Male","Manitoba","Limited Education","YES","Middle Class"
71,"Male","Ontario","Some Education","YES","Middle Class"
61,"Female","Quebec","Some Education","YES","Middle Class"
56,"Male","Alberta",NA,"YES","Middle Class"
79,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
59,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
44,"Female","New Brunswick",NA,"YES","Middle Class"
57,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
53,"Male","Nova Scotia","Highly Educated","NO",NA
56,"Female","British Columbia",NA,"YES","Middle Class"
47,"Male","British Columbia","Limited Education","NO","Lower Middle Class to Poor"
47,"Female","Saskatchewan",NA,"YES","Middle Class"
51,"Female","Newfoundland and Labrador","Highly Educated","YES","Lower Middle Class to Poor"
54,"Male","Quebec",NA,"YES","Upper Middle Class to Wealthy"
29,"Male","New Brunswick",NA,"YES","Lower Middle Class to Poor"
32,"Male","British Columbia","Some Education","NO","Middle Class"
67,"Female","Ontario",NA,"YES",NA
68,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
48,"Female","Ontario",NA,"YES","Middle Class"
54,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
58,"Male","Alberta",NA,"YES","Lower Middle Class to Poor"
37,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
38,"Male","Manitoba","Highly Educated","NO",NA
32,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
37,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
40,"Female","Newfoundland and Labrador",NA,"YES","Middle Class"
62,"Male","Prince Edward Island","Some Education","YES","Lower Middle Class to Poor"
39,"Female","New Brunswick",NA,"YES","Lower Middle Class to Poor"
30,"Female","British Columbia","Highly Educated","YES","Middle Class"
27,"Female","Manitoba",NA,"NO","Lower Middle Class to Poor"
31,"Female","Newfoundland and Labrador","Highly Educated","YES","Middle Class"
44,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
66,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
74,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
26,"Female","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
44,"Female","Newfoundland and Labrador","Highly Educated","NO","Lower Middle Class to Poor"
64,"Female","British Columbia",NA,"YES","Middle Class"
80,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
56,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
43,"Male","Quebec",NA,"YES","Middle Class"
21,"Male","Manitoba",NA,"NO","Lower Middle Class to Poor"
60,"Female","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
80,"Female","Prince Edward Island",NA,"YES","Middle Class"
73,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
59,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor"
58,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
62,"Female","British Columbia","Highly Educated","YES","Middle Class"
29,"Female","British Columbia",NA,"NO","Lower Middle Class to Poor"
56,"Male","Alberta","Limited Education","YES","Lower Middle Class to Poor"
80,"Male","Quebec",NA,"NO","Middle Class"
68,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
45,"Female","Alberta",NA,"YES","Lower Middle Class to Poor"
19,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
66,"Male","Nova Scotia","Highly Educated","YES","Lower Middle Class to Poor"
59,"Male","Ontario",NA,"YES","Middle Class"
45,"Female","Manitoba","Some Education","YES","Middle Class"
58,"Male","Ontario",NA,"YES","Middle Class"
30,"Female","Ontario",NA,"NO","Lower Middle Class to Poor"
36,"Female","Ontario",NA,"YES","Middle Class"
54,"Male","Newfoundland and Labrador",NA,"NO","Middle Class"
22,"Male","Ontario","Highly Educated","YES","Middle Class"
32,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
52,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
74,"Male","Newfoundland and Labrador",NA,"YES","Middle Class"
40,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
36,"Female","Ontario","Highly Educated","YES",NA
38,"Male","Prince Edward Island",NA,"YES","Middle Class"
80,"Male","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
52,"Male","Quebec","Some Education","YES","Middle Class"
77,"Female","Ontario","Highly Educated","YES","Middle Class"
65,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
41,"Female","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
36,"Male","Ontario","Some Education","YES","Middle Class"
49,"Male","Quebec","Highly Educated","YES","Middle Class"
65,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
28,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
15,"Female","Ontario","Limited Education","NO","Lower Middle Class to Poor"
41,"Male","Newfoundland and Labrador",NA,"YES","Middle Class"
48,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
80,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
58,"Female","Nova Scotia","Some Education","NO","Lower Middle Class to Poor"
43,"Female","Saskatchewan",NA,"YES","Middle Class"
16,"Male","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
33,"Male","Alberta","Some Education","YES","Middle Class"
47,"Male","British Columbia",NA,"YES","Middle Class"
64,"Male","British Columbia","Some Education","YES","Middle Class"
54,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
58,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
54,"Female","Ontario",NA,"YES","Middle Class"
78,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
58,"Male","Alberta","Limited Education","NO","Middle Class"
69,"Male","Saskatchewan","Some Education","NO","Lower Middle Class to Poor"
33,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
60,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
80,"Female","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
56,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy"
69,"Male","Ontario",NA,"YES","Middle Class"
25,"Female","Quebec",NA,"NO","Lower Middle Class to Poor"
31,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
45,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor"
59,"Male","British Columbia",NA,"NO","Middle Class"
32,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
38,"Female","Ontario","Highly Educated","NO","Middle Class"
71,"Male","Nova Scotia",NA,"YES","Middle Class"
30,"Female","Quebec",NA,"NO","Lower Middle Class to Poor"
68,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
32,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
69,"Male","Nova Scotia",NA,"YES","Middle Class"
64,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
36,"Male","Ontario",NA,"YES",NA
34,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor"
58,"Female","Saskatchewan","Highly Educated","YES","Middle Class"
66,"Male","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
51,"Male","Manitoba",NA,"YES","Lower Middle Class to Poor"
80,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
66,"Male","British Columbia","Some Education","NO","Middle Class"
58,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
37,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy"
29,"Female","Saskatchewan","Limited Education","NO","Lower Middle Class to Poor"
55,"Male","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
55,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
40,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
51,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy"
52,"Female","British Columbia",NA,"NO","Middle Class"
29,"Male","Ontario",NA,"YES","Middle Class"
39,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
75,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
72,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
33,"Female","British Columbia",NA,"YES","Middle Class"
21,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor"
61,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
57,"Female","Prince Edward Island","Some Education","YES","Middle Class"
80,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
35,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
37,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy"
27,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
70,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
43,"Male","Prince Edward Island","Highly Educated","YES","Middle Class"
54,"Male","Ontario","Highly Educated","YES",NA
28,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
36,"Female","Nova Scotia","Highly Educated","YES","Lower Middle Class to Poor"
39,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
29,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
80,"Female","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
24,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
61,"Female","British Columbia",NA,"YES","Middle Class"
60,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor"
56,"Female","Quebec",NA,"YES","Middle Class"
76,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
29,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
80,"Male","British Columbia","Highly Educated","NO",NA
41,"Female","Saskatchewan","Some Education","NO","Lower Middle Class to Poor"
20,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
68,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
24,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
38,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
66,"Male","Ontario","Highly Educated","YES","Middle Class"
80,"Male","Alberta","Some Education","YES","Middle Class"
59,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
74,"Male","British Columbia","Highly Educated","YES","Middle Class"
15,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
73,"Male","Manitoba","Limited Education","YES","Middle Class"
63,"Female","Ontario",NA,"YES","Upper Middle Class to Wealthy"
53,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
63,"Male","Quebec",NA,"YES","Middle Class"
41,"Male","Quebec",NA,"YES","Middle Class"
42,"Female","Nova Scotia",NA,"YES","Middle Class"
40,"Female","Prince Edward Island","Some Education","YES","Lower Middle Class to Poor"
49,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor"
32,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
27,"Male","British Columbia",NA,"NO","Lower Middle Class to Poor"
63,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
45,"Male","Alberta","Some Education","YES","Middle Class"
43,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
